JobTitle,Company,Location,Min Salary,Max Salary,JobType,Summary,Date Posted,JobUrl
bartender / mixologist,The Crown by W1,Kuala Lumpur,2500,3500,Full-time ,cocktail louge handcrafted creative grow,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cdnh10Ctjd8fZuJh-yReYjssbvmLmnt4zxxyldYf9c0ZsIYCCamC_ah4Zs6UbgkGkk_c5cmxGfoVr32nbedT2vNVxWYYwGzyotbkP9KyoknN4O31JjaB3t3CHGO_Oma-AFfbjxonVYUTSm9OMt7TiqQ74_oKZdg_TGtO5hIE2_jMPqNimkGUZW_UQvEXXs9qcChuQI_cYU1SfOudLEYafWwEyy0eclOCUTPo3mmWauYRtnGLI7nW1PzRwFr-mwDUBvIvXd5AtlqFaCRytKitMNGZMiU07PvQNjPH7C0PrMLUgPmS0Q1Hnh-cpaZxw83IGgcG1bkaGSIQHLDBMsDkN6h8jWLoT38ZAufDDMDqr0nOk5joesl5H_4e8wkQXaHO1s39Jdj_G2_4tIqqbUiLqo9xnbvoraQQ1hdobRPAfjVDx9oDJsAYv-kLFJTe5ZPhCyC4Y-J2Wl-HUysnuyY3vdReoIQzh8N49DQXXaf5mgTvtZ-ZIlb3rGO7Tfm1jlJw2UBoHIzpQylJDiTtFHIj-KfpKOFOS7Fs_6pWiy75MZ0gybmIjduEd_ZQLiu7sobOmYkf5Jxe4VlwSkQO4bBb_NoZsR2yLCiaJcUM4aF7X-E0G5_JhYtLhx&xkcb=SoBl6_M3_UzyhrU-KR0JbzkdCdPP&camk=nUmJqO2E8rgw-0zG5ghGGg==&p=2&fvj=1&vjs=3
it service desk technician,Mammoth Technology Sdn Bhd,Cyberjaya,3000,4500,Full-time ,full time position available immediate start spot client liaison ticket originate call email chat,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bf43TXNdla0MUXLkenQzQxkeVrGHMjDOtD8h-o7EX7tJ-C5Guz8FQEJM2mFtLb-cMtzDjvhMGfkqHFZH86L2VgFx8XrndFDmNZfnnMugmVWUx9g-Dd4KHSrqh7CbggcOeZgYvHze58oIN7R_OipKv8XziHIwVw1aajWGqPC0tgpYAzQZFnqVVpe_toouLlJ0ZaXKnbK2DHcP0Pv6fefvBwUWa1tGCYWhLxyVZbAdH8_fz5uzxLhBkIrr_gGmP9LZvhNNzpc3yZLHVQBk5rLjWivxsTPsLfyciHPi0C6UFP88gpv8YXL7z89vajE7l_hQ4ymeJCHGz3F4Zc3U9gHFYwxx3IMiluWEqQKMTLuE3hWIvyra2RJ56YTuVSdKx2Xe8jJ5tsQAvHtULqZBZQzR16B3a9zccByuAcHlm9IOOqLK2aJHvjCNgxMTt7A40xrAVaTztMNj0c7fXE3Ed2suYFP_w_U1WyciUSxbliKhoNzFud-IICpJWZqie_EqZBpdMuk0oEfZ7kfHff3486sB8Pi3ToXuvGat-M-iQo20o4GmSCo9-Iifd3sMfgsGyRnUjY4uXHS7Ji9LBLJ_szHhp_3Wx4O0-wkZjWm4d2nHssAsiSN8Xtmgvk&xkcb=SoDR6_M3_UzyhrU-KR0IbzkdCdPP&camk=NFVmwABINBL5XCBQgPpdkw==&p=3&fvj=1&vjs=3
customer service executive - mandarin speaker,S Business Consulting,Bangsar South,4000,4000,Full-time ,rotation 5 week weekend   customer service promptly least diploma degree,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al1zY2XC0fL0HluT0mHsjPflcWiynJMUtJ47K6O1TqmQgBOrEVHidFxy39YWaWDSlYWiizupLqO-0OEz-WhiW-szc7NXNacFDa95-bpaGptvN7_ARla3ToQxlWN06l1antUK-0AzVEA-6vFn2Fya5smsZIuhownNenjbkp007IK38D3ftxoIodRdhaJRtbA_zhQEcf8acKekWDJkBPPR4Ker303mX3IGRttW4DLJ_BunT3U610FMlP3Y5dV_MIhoZJwx2UycZvlbLDS-NDOrgaEfo7EXO9iH37RmzCC24oRWUpSXlyhZZxLUqtW6m-WdJTq3GpyGS3D_yYSbVZFZBla7_A2X5i4WcoRHzB4wo6PI71Ats3qqmF77mt_04jqBH-rgB3cdsztEHRqbOgafdtA24uQORjzjCX5igWDyEUOityQDO5floW3CS5wfV4Rie2VyL2uNshqOxdlYbYcD1c42VjJ24NxTEKQRt-RVHhnRVNjUFx2slS_tRcWS3hKA7PX2EhdhQrsfdaOrgLu5KUTgR1zqKpE-ZImfYK95mim0ghjjsC8LD6PqRrDFNFN6z2boMnaJTCzgEgqHYlrIFBGPUMA9nQ1HeOCWbxaK5Mywlx9j4qtZgaqOnJVaBB5tn2Ot5J5-wpyhBTs2Bs288Dsq7fIKEYudBbb_LdR3ArfQ==&xkcb=SoBf6_M3_UzyhrU-KR0PbzkdCdPP&camk=4HOcmqOLYrCx4Yev5sexew==&p=4&fvj=1&vjs=3
internship for computer / network students,Exentrix Network Sdn. Bhd.,Bangi,800,800,Internship,student who currently pursuing diploma degree computer net computer science treated course equivalent,9/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdEyW-MiX8LOzT70kp2S3DY9JQUh1ZzqUKbv_eiGTscMVanUg-UhJT5dVGFID6Y44H_zj6Q0G5CM2NMd7j0wl8Ca_bQsKXaZOiNEToAF702535CABJZlc4Kp9SupBhFw5pnZTW_n2uO83RmNR7TIRNg6zS4HYWlCmzNJToV5mudxSCx6weTYAK87ZZX2b51EpUjp4Eo1ryqqFAx9H-bZvf4bQ1FEi5eR3ioGF_N3ZCSphDAplRCDdZfYlIa0cjIxS1dT8l5DRfzrdfn3nnU6ZW3Js3qI1NZn8xTdWphuf9qvF3paU6-dMjCssFmeLZ5-8iv09biD3lF_G56FZqaZsJ53djuJLcHlGWUO_IVMmWfbJ2-DiUXKh5xrin6pSMM6DLAhUaV0jr0mLwmpCHc-7nwRMQ44fqJC-w5tLj0qdkDrSPphiVl5s55qkN1UmKgmgtyRkI8SPrdeUy-7SXVnAFyGeuQgLFSjAf34uXM0ev_WZSPXuQEzEJW2i0wZTLIC6AVAt8Gtg0ITFwwe17vgT_6ygk8CvHRVg2ll4Ipso53EqMXyscha9EgE6pTpeHDmdgTv2RZVQw_kmSnH4M_7s0mu_LNac-kQ60WwsRyWPBEN5tj_MSSj2Cgxun8LVSQqxjVRZrfwCNMw==&xkcb=SoDr6_M3_UzyhrU-KR0ObzkdCdPP&camk=4HOcmqOLYrDrT2kfyPNl-w==&p=5&fvj=1&vjs=3
it service desk analyst,PERSOLKELLY Malaysia,Kuala Lumpur,5000,9500,Full-time,effectively resolve level 1 service desk technical query deliverable outlined   remote support local oversea connected,12/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B1RGSSPXmgCibT-62W09vFlZEDeZY9n4skSMOLDmvKw9xncFqnb9OwLMkvDMPqNrEmUStnT9NJeYoBk-QOZa1bJKtXHdJMeBlzqryr9D8GRiAuTq-ZrnFeVx-zXaGLVKFMJ7SqXBtueeyDNoW2TnZRIort5XoHFhv9ehHufijWCy_XuxP0pYmgSZZkJYF2m99PyB7nh0dD59lNlGLjzNpKRfRnfOkg9IfBIrvH7hkZtNbCkw1nvot6-01jWzK_3Vcr5w4fFhZ_34ZKNIaPw5nNQYAln9TiZYrndzHtgBlacBkjKdWXGhdgs26sJzZHFnVHHA1hLZUOkRIGmTPKrK4tHH1p2nivr4TJ9Owz0_MBlZBzfikWX3lectnz_tHAQuPtQSR9-00P8Qp6hJ2tFDz4xD7QBfTZnnCkXTxmMyVIA4dSiszUPSHH80HrrSmm2_tdaG7dWQ54HlqP1RvWCOanI3gjUsbI77a9Ij5Z1V0fj-km48zCo5j0WEvZpmuEs0oL07HrfuSi8HFEua9pssJQkbYKeckyjUgIJpNYi4BVM0jqeiu0NpObxC824WYJMsvZopSWyTVXk-rmvFZ-q2Hnz_T39BlDY708mkRtJG7GWX-cEeXmoYwErjsvAJvTw4NkiGMrophLrpRn4w_xxaFh2_MxEu8j-iCeMe1HdemQ1A9uj42vSsfPtv0a-arPbvVVEmngImRsqA==&xkcb=SoB26_M3_UzyhrU-KR0NbzkdCdPP&camk=f416UQcMBpAnLuT3SRE_IQ==&p=6&fvj=0&vjs=3
internship it,Abata Commerce Sdn Bhd,Cyberjaya,800,1500,Full-time ,diplomadegree computer science information techno equivalent least 6 offer ship programmed,30/5/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DX_JmKz6KHF5nvg_ALVzwelkUQY_wmbc69vPucj-cKlFCvSacumfS7Sur-9-_3M8U76HqXOMZVPX2g3Tlx7hRN2s0j2RFnCf9iIocnS927Erqw5edWuL8ykmg4aUsABvzk4AwiCa3cRVKK_CEdm65uD_xJZECKhuSUmQIoUNRZcSjsPn96ZbdHy_aIPSaXIG60PYxfZNHDnALTFL-B1Suup3v5W-xzGM8B5xxvfYfhRskHf7tUAadlLQwGyGdPLA0Lm2-Ku1879AH_hMSxCM0E1xLa3-ffacRx9AKPilW0px3Jq3dZ5YH8gdkZxlYW5TExGMoL8mkyN-smv0W24AvEeHckxNf0sLMfK3mFc6eYTEQQPlYMQtrT6yvLFZOdTt0Vij0rlTqWAYbgBAtnoirxLTbbB9iSaspAqH3zWUJtDJGetX3sIBWl1a3haVqj_6eSkM2zbecfrr-e3cZdOgMC9Z7MIw_a4VWrhX8k7847akkK9YRA9lGm00UolrjCXk0BbvESftWPbzIsKOxoDVCD_3MsWVTH2hLDjfoMOK0iFIQwnWwMHHJX46RtDt3hQrLK_9rG70PDI5ODfgepYeYoE90S5Bll6OEgQC4xn6SOGJJd2YEnhLEDJf2uZgt-QCG7FB15c-pmZA==&xkcb=SoDC6_M3_UzyhrU-KR0MbzkdCdPP&camk=xqnMBGaf-K-gQ7ffgSVDHw==&p=7&fvj=1&vjs=3
webflow dev expert,Capital Club,Petaling Jaya,9200,11000,Full-time,ideal candidate posse eye clean responsive design adept transforming vision it,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0G-dOaSStdVCY8_3UqfVpthpNWHexZc5AW31ymJxIH95_LftVYcUrvtEQlAUd50RC45qkW4dE_b8EgyduEeIfNWz7m8x3NumYWdObOchI9wEsBAwHcnZBTkVl-ae83N922IaubTqHByZmdHp6cAEhG4WIJ4eQ8IUw_LH_lRu12PLjDvR7BUhkap3DMuWpP-QzU0oltkxHoVY4zsOLJQndQT88V7Wucf8eGTY2wH88Az_E26ENplmG1_PkVaaEUvlSKrsKBy2y8cEXUVMreW9-Uwd-5UD4RyOThrAp3YA0KBXUJ_nKtVjsYYeO6HJnW5ajlfz1wn8ckdDCwZs4-17RUononsUkuKofU3WBEyVf-19KSIBPNVo3Yb0sFAlFoPGRe1POfH9rzgiTurF22X6xBuerIxo3yJjgI0IECgcmL2orA55rf_-dWqYQMKou2d3Cvi8_HJV8iRXitlk2wuKPsg3JTiq1A0S0qpAsu_EkZvU5-bPg2AdUFb3iTt1etdAPGmlHSEgg2a0yO7jKygNoOV8bfZtFvrHEvxvzKR7rCA3Ese9zrqajFW_Amwv_fU4e9JwXBytaK_s-pD5VxlutkiuPeZfLrsBLtT7n8h1TSg8Uso7IyVJc08XtOgnx0W-nw0QudRL2qEz2FqpOktTH&xkcb=SoAr6_M3_UzyhrU-KR0DbzkdCdPP&camk=4HOcmqOLYrBCapz7rAw1zQ==&p=8&fvj=1&vjs=3
it executive - petaling jaya,Glob Pro BrainHunters Sdn Bhd,Kuala Lumpur,6000,6000,Full-time,manage support end daily nation lifecycle regional hardware software can wan security service inclusive,15/6/2024,https://malaysia.indeed.com/rc/clk?jk=eda1f25521d3a78c&bb=TeDXU2HtJuWny_6HnGBNdd669E7YxW--9lEvP9YfHDhOND0bz1kvpVYHc38H2_KndSLizM0VKTPUiqmYKe7wpooy0c1HllwRu3OUYZKUhq-BFz7K8iWVzOEafFtshG-r&xkcb=SoBr67M3_UzyhrU-KR0CbzkdCdPP&fccid=75f44809102facfd&cmp=Glob-Pro-BrainHunters-Sdn-Bhd&ti=IT+Executive&vjs=3
motion graphic designer,Shuttlerock,Johor Bahru,3000,4500,Full-time,practical knowledge adobe photoshop adobe illustrator adobe effect aesthetic sense art layout typography color concept motion,11/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_8b9cHilOKd5jqQMlkim1by4cSX0k77Rn3ZQvx1C8k4vPFGKeDcr16LHB1cTLLcWNQjKmVgy1n12IR_WzBp3yU-ACrnX6s_PmNJ4YrMsC82IGisHo1rmpeTxqnS05KT9yhDZyl6_sXKM7RqtLII2ilyhj97y5HX5Bjrkh_OPet2PnkNb87BFNB46VJnPoceamgJ0FqmX6ectIZWkzTcTHK9YIrUyF5SS8bfsOxhO4mewWp8nFHFWePIj0lj0HWVQbkRG2V5t9b5hQrcv7qvnKKhrkoRXKI76XxJ_LfpaTvtoxzYvBe6lWBIIvafyKRxnE1wvfQx1igdFU99IrMO7gTnpTJCXQ8vheMccMXrqECJNQJUGdw9NKSORWigVkbyUMktnlGqw7XDrAz2hSHlkrZ6iwvxncrHQIpykBqB0-r__zRlQLb2XsScIc7aYTv26ccH7XKg_o4m9C84A0UFQXWJIJybhMiLHZ7SCR-w5arIvGz1Plp2BHwxFODWRE0j6cvmvpcn99veLKe-Mh4QIzCP-Cp5VUnGuxyRsm80DAzCaqtAKstwqWwzlPHp79Bsc7seHM12Ehk2iVizoddj756081IPf3PgYmizil1G7PGYm3LFb7PXCT70EyT2n56gvFYZxpV82zDPXNDhejtJ_YjvRvZjSFDn8=&xkcb=SoAC6_M3_UzyhrU-KR0BbzkdCdPP&camk=4HOcmqOLYrCX6phA4kIWpA==&p=10&fvj=1&vjs=3
it executive,Tealive,Kota Damansara,2500,4000,Full-time ,main handle nation across includes support pop softwarehardware mobile ape issue,26/5/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8y7h8nympYbB91KQ8M7ZBbffTJs28kp2xpSwAldW5lodpFyGPoFAwJLUUGGoIpOcbdLz6gUAsjYlq88HT6rvDiFin5Q4NXsa2GAhDt4dTBplGWPDW1fVy2TLFTvjphMWaUgL9kHenRkhMlrhbYuXRSD4dFQTNQRm9n5OrLe1VB95Q00UsGHieyYuOikqCImoaXcTXdHmZcwCDUoPQu_k2GXkwe40roSdpTRYAN1Zft7Xy3cwC7oeBQRhH9wBSoPVBpiuwYkknxLjNCQ9J5H3RnB78eHMUHVT0cDmTI5DrTG-Omo6rEOBuuoE-it1AtxQtSdEYTxpOwAO41CDYActRIXbqGlAxBSC-9xCmAVL2jrJNwglNjWNp4sPxvwaTHhEfKqI9j2ji0v8K1KLDWVjKhdV-aVcg5AW6Fm8DPrkNTCXBW9_gguYRVa9UDDut_eigvhU-6POArDwbpezvI1laz_6DwH-XkFAGrIWtsKHvfZiFoLEX-7R_wnFlSgEg0TfYjnaZIDSgFncUHWP4vqWkC-mk2ojWrkHk7TDcPgH4Whdv9IUBW-iu2LX2vnJtE8rAKDQV9eAkF9V_2Fdg5WJPW0BfkXYo_abeRL0QI0J4U96Sg81iDa6S11nawbFLiaU=&xkcb=SoC26_M3_UzyhrU-KR0AbzkdCdPP&camk=4HOcmqOLYrBE9AXkLi2--A==&p=11&fvj=1&vjs=3
